metric,cell,mean,std,n,ci_lo,ci_hi
perspective_diversity,hom_notom,0.13244360119083612,0.030069098150712643,6,0.1079840881580456,0.15156034671561183
perspective_diversity,hom_tom,0.08538975887174043,0.0324968591049724,6,0.06305474851453194,0.11013592979754576
perspective_diversity,het_notom,1.7123832182750147,0.1331945633016577,6,1.5995603719501927,1.791346398460748
perspective_diversity,het_tom,0.5412090921245405,0.09889436400619162,6,0.46794107171894234,0.6131809949053093
perspective_diversity,hom_notom_talk,0.0,0.0,3,0.0,0.0
perspective_diversity,hom_tom_talk,0.10340772290239315,0.03008109924344623,3,0.07075411934478637,0.1299902139667126
perspective_diversity,het_notom_talk,0.005407139392245317,0.0049350604631796975,3,0.001336548124304799,0.010896061645041678
perspective_diversity,het_tom_talk,1.0278371785345164,0.3434482728475806,3,0.6438149370061751,1.305591547608087
perspective_diversity,hom_atom,0.02931296781764811,0.011604556016265744,3,0.0215759311489873,0.04265615860148821
perspective_diversity,het_atom,0.46959992148767055,0.23120453883602268,3,0.3186887779051968,0.7357775655079769
perspective_diversity,het_atom_talk,0.919232257904311,0.03334195442891925,3,0.8847880890738842,0.9513501588572614
cooperation_payoff,hom_notom,2.345555555555556,0.14619114833618282,6,2.2533333333333334,2.4617083333333327
cooperation_payoff,hom_tom,2.188333333333333,0.08828615092099351,6,2.1216666666666666,2.247777777777778
cooperation_payoff,het_notom,0.595,0.043397388554305145,6,0.5705555555555556,0.6305555555555555
cooperation_payoff,het_tom,1.2594444444444444,0.12008176226900406,6,1.1761111111111113,1.348888888888889
cooperation_payoff,hom_notom_talk,2.526666666666667,0.0057735026918960064,3,2.5200000000000005,2.5300000000000002
cooperation_payoff,hom_tom_talk,2.4133333333333336,0.07505553499465116,3,2.3699999999999997,2.4999999999999996
cooperation_payoff,het_notom_talk,1.76,0.06082762530298218,3,1.72,1.83
cooperation_payoff,het_tom_talk,0.89,0.32511536414017733,3,0.6499999999999999,1.2600000000000002
cooperation_payoff,hom_atom,2.1966666666666668,0.1721433511156717,3,2.0,2.3200000000000007
cooperation_payoff,het_atom,1.2600000000000002,0.1539480431834064,3,1.0900000000000003,1.39
cooperation_payoff,het_atom_talk,0.9900000000000002,0.034641016151377706,3,0.9499999999999998,1.0100000000000002
equilibrium_convergence,hom_notom,0.9711166666666667,0.026212242686703996,6,0.9522333333333334,0.9899999999999999
equilibrium_convergence,hom_tom,0.9766666666666667,0.025919542177026713,6,0.9566500000000001,0.9933333333333335
equilibrium_convergence,het_notom,0.9622166666666666,0.03311618436152731,6,0.9377666666666666,0.9866666666666667
equilibrium_convergence,het_tom,0.9488833333333334,0.037409058617755515,6,0.9199833333333333,0.97445
equilibrium_convergence,hom_notom_talk,0.96,0.020000000000000018,3,0.94,0.98
equilibrium_convergence,hom_tom_talk,0.9666666666666667,0.03055050463303896,3,0.94,1.0
equilibrium_convergence,het_notom_talk,0.9199999999999999,0.07211102550927981,3,0.84,0.98
equilibrium_convergence,het_tom_talk,0.9600000000000001,0.020000000000000018,3,0.9400000000000001,0.9800000000000001
equilibrium_convergence,hom_atom,0.9666666666666667,0.023094010767585053,3,0.94,0.98
equilibrium_convergence,het_atom,0.8133333333333334,0.09451631252505213,3,0.7399999999999999,0.9199999999999999
equilibrium_convergence,het_atom_talk,0.9666666666666667,0.030550504633038912,3,0.9400000000000001,1.0
tom_prediction_accuracy,hom_notom,nan,nan,0,nan,nan
tom_prediction_accuracy,hom_tom,0.6727833333333333,0.03254046199221309,6,0.6483499999999999,0.695
tom_prediction_accuracy,het_notom,nan,nan,0,nan,nan
tom_prediction_accuracy,het_tom,0.5380444444444444,0.027936639952790523,6,0.5188777777777777,0.5586
tom_prediction_accuracy,hom_notom_talk,nan,nan,0,nan,nan
tom_prediction_accuracy,hom_tom_talk,0.71,0.044440972086577935,3,0.6750000000000002,0.7600000000000001
tom_prediction_accuracy,het_notom_talk,nan,nan,0,nan,nan
tom_prediction_accuracy,het_tom_talk,0.5183333333333333,0.10152996273678688,3,0.45,0.635
tom_prediction_accuracy,hom_atom,0.6516666666666667,0.04932882862316252,3,0.595,0.685
tom_prediction_accuracy,het_atom,0.5416666666666667,0.012583057392117928,3,0.53,0.555
tom_prediction_accuracy,het_atom_talk,0.49833333333333335,0.00763762615825974,3,0.49,0.505
