method,seed,last_train_return,best_train_return,train_auc,stability_gap,last_test_return,best_test_return,last_llm_fd_records
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_adaptive_penalty_0.0003_late045,1,0.2225,0.3992,0.16572368421052636,0.1767,0.2225,0.2225,3000.0
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_adaptive_penalty_0.0003_late045,2,0.2466,0.3535,0.20102368421052633,0.10689999999999997,0.2466,0.2466,3000.0
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_adaptive_penalty_0.0003_late045,3,0.3524,0.7527,0.2526184210526316,0.40030000000000004,0.3524,0.3524,3000.0
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_adaptive_penalty_0.0003_late045,4,0.21,0.2818,0.19134210526315784,0.0718,0.21,0.2272,3000.0
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_adaptive_penalty_0.0003_late045,5,0.2098,0.3167,0.18403947368421056,0.1069,0.2098,0.2098,3000.0
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_adaptive_penalty_0.0003_late045,6,0.2403,0.4124,0.19127368421052637,0.17209999999999998,0.2403,0.2403,3000.0
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_adaptive_penalty_0.0003_late045,7,0.208,0.2743,0.16433421052631583,0.0663,0.208,0.208,3000.0
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_adaptive_penalty_0.0003_late045,8,0.3204,0.5079,0.22681315789473686,0.1875,0.3204,0.3204,2999.6
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_llm_semantic_adaptive_0.0003_late045,1,,,,,,,
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_llm_semantic_adaptive_0.0003_late045,2,,,,,,,
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_llm_semantic_adaptive_0.0003_late045,3,0.0808,0.1042,0.0925,0.023400000000000004,0.0808,0.0808,314.0
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_llm_semantic_adaptive_0.0003_late045,4,,,,,,,
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_llm_semantic_adaptive_0.0003_late045,5,,,,,,,
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_llm_semantic_adaptive_0.0003_late045,6,,,,,,,
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_llm_semantic_adaptive_0.0003_late045,7,,,,,,,
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_llm_semantic_adaptive_0.0003_late045,8,,,,,,,
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_matched_random_0.0003_late045,1,0.2505,0.4806,0.19726578947368423,0.23010000000000003,0.2505,0.2505,2971.2
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_matched_random_0.0003_late045,2,0.1236,0.2294,0.11460789473684209,0.10579999999999999,0.1236,0.1236,3000.0
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_matched_random_0.0003_late045,3,0.1962,0.3643,0.1599105263157895,0.1681,0.1962,0.1962,3000.0
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_matched_random_0.0003_late045,4,0.2242,0.2433,0.16945263157894733,0.019099999999999978,0.2242,0.2242,3000.0
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_matched_random_0.0003_late045,5,0.2143,0.278,0.17078157894736834,0.06370000000000003,0.2143,0.2143,3000.0
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_matched_random_0.0003_late045,6,0.3438,0.5469,0.2550105263157894,0.20310000000000006,0.3438,0.3438,3000.0
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_matched_random_0.0003_late045,7,0.2221,0.3965,0.17320263157894739,0.17440000000000003,0.2221,0.2221,3000.0
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_matched_random_0.0003_late045,8,0.1789,0.4498,0.16703684210526312,0.2709,0.1789,0.1789,3000.0
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_mechanism_specific_0.0003_late045,1,0.3488,0.6342,0.237621052631579,0.2854,0.3488,0.3488,3000.0
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_mechanism_specific_0.0003_late045,2,0.2892,0.4826,0.22623421052631573,0.19339999999999996,0.2892,0.2892,3000.0
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_mechanism_specific_0.0003_late045,3,0.1874,0.2821,0.16515263157894738,0.0947,0.1874,0.1874,3000.0
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_mechanism_specific_0.0003_late045,4,0.2589,0.4202,0.20207368421052627,0.1613,0.2589,0.2589,3000.0
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_mechanism_specific_0.0003_late045,5,0.262,0.5658,0.20676052631578945,0.30379999999999996,0.262,0.262,2981.6
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_mechanism_specific_0.0003_late045,6,0.1634,0.2853,0.12945000000000004,0.12190000000000001,0.1634,0.1634,3000.0
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_mechanism_specific_0.0003_late045,7,0.1998,0.2538,0.16475789473684208,0.05400000000000002,0.1998,0.1998,3000.0
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_mechanism_specific_0.0003_late045,8,0.1958,0.2656,0.1881973684210526,0.0698,0.1958,0.2034,3000.0
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_semantic_adaptive_0.0003_late045,1,0.2033,0.3153,0.16676842105263145,0.11200000000000002,0.2033,0.2033,3000.0
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_semantic_adaptive_0.0003_late045,2,0.4145,0.7509,0.30046578947368424,0.33640000000000003,0.4145,0.4145,3000.0
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_semantic_adaptive_0.0003_late045,3,0.3043,0.7041,0.22977894736842105,0.39979999999999993,0.3043,0.3043,3000.0
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_semantic_adaptive_0.0003_late045,4,0.2941,0.4907,0.21913157894736845,0.19660000000000005,0.2941,0.2941,3000.0
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_semantic_adaptive_0.0003_late045,5,0.33,0.5784,0.22168157894736842,0.2484,0.33,0.33,3000.0
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_semantic_adaptive_0.0003_late045,6,0.2692,0.3452,0.19007631578947368,0.07600000000000001,0.2692,0.2692,3000.0
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_semantic_adaptive_0.0003_late045,7,0.3954,0.7244,0.28417631578947367,0.32900000000000007,0.3954,0.3954,3000.0
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_semantic_adaptive_0.0003_late045,8,0.2225,0.3469,0.19799210526315789,0.12439999999999998,0.2225,0.2225,3000.0
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_semantic_shuffled_0.0003_late045,1,0.2218,0.3441,0.1780657894736842,0.12230000000000002,0.2218,0.2218,3000.0
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_semantic_shuffled_0.0003_late045,2,0.3191,0.3924,0.22393947368421055,0.07330000000000003,0.3191,0.3191,2975.6
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_semantic_shuffled_0.0003_late045,3,0.206,0.3528,0.17511578947368428,0.1468,0.206,0.206,3000.0
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_semantic_shuffled_0.0003_late045,4,0.4047,0.724,0.3071736842105263,0.3193,0.4047,0.4047,3000.0
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_semantic_shuffled_0.0003_late045,5,0.2112,0.2928,0.16743421052631577,0.0816,0.2112,0.2112,3000.0
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_semantic_shuffled_0.0003_late045,6,0.2104,0.2626,0.16366052631578945,0.052199999999999996,0.2104,0.2104,3000.0
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_semantic_shuffled_0.0003_late045,7,0.2848,0.4668,0.20204999999999998,0.182,0.2848,0.2848,3000.0
phase2rl_lbforaging_Foraging-10x10-3p-3f-v3_semantic_shuffled_0.0003_late045,8,0.2062,0.3123,0.19195789473684216,0.10610000000000003,0.2062,0.2062,3000.0
