contrast,game,group,mean_hi,mean_lo,mean_diff,ci_lo,ci_hi,wilcoxon_p,holm_p,cohen_dz,win_rate,n
paradox,chicken,anti,2.4400,2.1760,0.2640,0.2043,0.3227,0.0000,0.0000,1.896,0.950,20
paradox,deadlock,anti,1.5600,2.1540,-0.5940,-0.6350,-0.5513,0.0001,0.0003,-6.014,0.000,20
paradox,hawk_dove,anti,1.1160,1.9960,-0.8800,-0.9387,-0.8240,0.0001,0.0003,-6.511,0.000,20
paradox,stag_hunt,coord,2.9207,2.9990,-0.0783,-0.0940,-0.0623,0.0001,0.0003,-2.067,0.000,20
paradox,battle_of_the_sexes,coord,1.2807,2.8480,-1.5673,-1.6380,-1.4950,0.0000,0.0000,-9.332,0.000,20
paradox,public_goods,boundary,2.5538,2.6440,-0.0902,-0.1013,-0.0789,0.0000,0.0000,-3.398,0.000,20
attainment,chicken,anti,2.1760,2.3893,-0.2133,-0.3093,-0.1233,0.0003,,-0.987,0.250,20
attainment,deadlock,anti,2.1540,1.4633,0.6907,0.6430,0.7373,0.0000,,6.247,1.000,20
attainment,hawk_dove,anti,1.9960,1.1367,0.8593,0.7757,0.9427,0.0000,,4.409,1.000,20
attainment,stag_hunt,coord,2.9990,2.9173,0.0817,0.0653,0.0983,0.0001,,2.152,1.000,20
attainment,battle_of_the_sexes,coord,2.8480,1.2883,1.5597,1.4887,1.6280,0.0000,,9.562,1.000,20
attainment,public_goods,boundary,2.6440,2.5276,0.1164,0.1053,0.1286,0.0001,,4.230,1.000,20
mild_cost,chicken,anti,2.4400,2.3893,0.0507,-0.0633,0.1600,0.3300,,0.192,0.700,20
mild_cost,deadlock,anti,1.5600,1.4633,0.0967,0.0300,0.1630,0.0192,,0.621,0.700,20
mild_cost,hawk_dove,anti,1.1160,1.1367,-0.0207,-0.1083,0.0697,0.7012,,-0.099,0.400,20
mild_cost,stag_hunt,coord,2.9207,2.9173,0.0033,-0.0183,0.0257,0.9039,,0.064,0.400,20
mild_cost,battle_of_the_sexes,coord,1.2807,1.2883,-0.0077,-0.0877,0.0790,0.5460,,-0.039,0.350,20
mild_cost,public_goods,boundary,2.5538,2.5276,0.0262,0.0128,0.0399,0.0014,,0.840,0.750,20
